meta,position,is_qb,year_span,start_year,end_year,slug,full_slug,iter
Ray Agnew (FB) 2014-2014,FB,0,2014-2014,2014,2014,/players/A/AgneRa00.htm,https://www.pro-football-reference.com/players/A/AgneRa00.htm,a
Vince Agnew (CB) 2012-2012,CB,0,2012-2012,2012,2012,/players/A/AgneVi00.htm,https://www.pro-football-reference.com/players/A/AgneVi00.htm,a
Roberto Aguayo (K) 2016-2016,K,0,2016-2016,2016,2016,/players/A/AguaRo00.htm,https://www.pro-football-reference.com/players/A/AguaRo00.htm,a
Louie Aguiar (P) 1991-2000,P,0,1991-2000,1991,2000,/players/A/aguialou01.htm,https://www.pro-football-reference.com/players/A/aguialou01.htm,a
Joe Aguirre (E) 1941-1949,E,0,1941-1949,1941,1949,/players/A/AguiJo20.htm,https://www.pro-football-reference.com/players/A/AguiJo20.htm,a
C.J. Ah You (DE) 2009-2011,DE,0,2009-2011,2009,2011,/players/A/AhYoC.00.htm,https://www.pro-football-reference.com/players/A/AhYoC.00.htm,a
Chidi Ahanotu (DE-DT) 1993-2004,DE-DT,0,1993-2004,1993,2004,/players/A/AhanCh20.htm,https://www.pro-football-reference.com/players/A/AhanCh20.htm,a
Dan Ahern (T) 1921-1921,T,0,1921-1921,1921,1921,/players/A/AherDa20.htm,https://www.pro-football-reference.com/players/A/AherDa20.htm,a
Ramiz Ahmed (K) 2022-2022,K,0,2022-2022,2022,2022,/players/A/AhmeRa00.htm,https://www.pro-football-reference.com/players/A/AhmeRa00.htm,a
Salvon Ahmed (RB) 2020-2023,RB,0,2020-2023,2020,2023,/players/A/AhmeSa01.htm,https://www.pro-football-reference.com/players/A/AhmeSa01.htm,a
Dave Ahrens (LB) 1981-1990,LB,0,1981-1990,1981,1990,/players/A/AhreDa20.htm,https://www.pro-football-reference.com/players/A/AhreDa20.htm,a
